example_id,conversation_id,customer_tweet_id,customer_text,available_context,expected_intent,expected_action,expected_reason,difficulty,source_type,annotator_notes
GS_011,382542,382541,@AppleSupport iOS and TVOS I switch between my iPhone and my AppleTV (4th Gen). There are a bunch of songs. The personal station only seems to have a about 30 songs and I disliked many of them. Shouldn’t it reflect the music I listen to and like?,No Context,software_system_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_012,1835640,1835640,@115858 Yoooooo wtf is going on with this damn ios11. MY 7plus tweaking,No Context,software_system_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_013,2526368,2526368,@AppleSupport Hey guys. my 6s iphone crashed for the second time even when updating the last IOS firmware 11.1.1 what should I do. I had enough,No Context,software_system_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_014,992378,992378,Officially not a fan of my iPhone. This update is giving me a massive headache @AppleSupport @115858 👎🏻,No Context,software_system_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_015,711678,711678,@AppleSupport Ever since my iPhone 6 Plus automatically updated to IOS 11.0.2 it has been wigging out and every app is buggy. What is up?!?,No Context,software_system_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_016,695327,695327,"@115858 @AppleSupport - how come every time you release a new phone, mine always slows down, freezes and the battery lasts 10 minutes? #loadofshit @125607 what deal can you give me?",No Context,battery_power_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_017,2364433,2364433,@AppleSupport The iOS 11.1 update is a freaking battery drainage problem for my 5s. (I’m aware of battery saving methods) Please fix this,No Context,battery_power_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_018,1973695,1973695,"@AppleSupport my phone logs itself out of apps, reboots, &amp; my photos keep disappearing. It's rather frustrating! Please help!",No Context,battery_power_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_019,1920010,1920010,@AppleSupport I updated to 11.0 3- now my phone needs to be charged at least twice a day and graphic glitches happen continuously. Fix this?,No Context,battery_power_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_020,2035796,2035796,Dear @115858 and @AppleSupport — Battery life *horrible* since upgrade to #iOS11 on my iPad.,No Context,battery_power_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_021,2060858,2060858,@115858 #itsucks battery mostly #ios11,No Context,battery_power_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_022,2043503,2043503,"@AppleSupport Starting today, Instagram is crashing on iOS11. Also, battery is draining like water on my iPhone. Can you do anything?",No Context,battery_power_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_023,2367779,2367779,"@AppleSupport Hi, may I get a battery diagnostic ran on my iPhone 6?",No Context,battery_power_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_024,487959,487959,"When I left my house my battery was at 90% and now it’s at 10%. @115858 I know y’all just released new phones and that’s when the older ones act up, but wtf 🤦🏽‍♀️",No Context,battery_power_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_025,669865,669865,Is it me or is the new IOS11 sucking up battery power like its going out of style?? I cant seem to keep my devices charged...@115858,No Context,battery_power_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_026,1626191,1626190,@AppleSupport I want my photos in the cloud but should I take them off so that they do not load?,No Context,battery_power_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_027,523007,523007,@AppleSupport also you overcharged me $10 this month for my iTunes bill.,No Context,battery_power_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_028,2835187,2835187,"@AppleSupport what's up. iPhone 7 iOS 11.0.3 made it worse, it's draining as I type! #iphone7 #BatteryDrain #Apple Apple software 11.0.3 update has just ruined my iPhone thanks a lot Apple @AppleSupport @115858",No Context,battery_power_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_029,1242833,1242833,".@115858 better stop messing with me. My ORIGINAL charger gives me the ""this accessory may not be supported"" pop up. I can't do this anymore.",No Context,battery_power_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_030,1097777,1097777,Hey @AppleSupport do you cover chargers when the cord malfunctions? https://t.co/b3yH6d81A1,No Context,battery_power_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_031,1458754,1458754,Hey @115858 no % for battery in iPhone X? Are you stupid? YOU’RE RUINING MY LIFE!,No Context,battery_power_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_032,619539,619539,First the “I” problem... now I’ve realized it is autocorrected to I.T 🤭why? #ios11 @AppleSupport and also that my keyboard disappears after viewing a picture sent by text... I have to close the app to get I.T back.,No Context,keyboard_text_input_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_033,552023,552023,@AppleSupport the keyboard isn’t working on the top keys (i o u y t) of my MacBook Pro. Any suggestions to fix the issue?,No Context,keyboard_text_input_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_034,2005432,2005432,@AppleSupport why is it every time I️ type the letter ‘I’ it turns into a question mark box... figure it out for God’s sake,No Context,keyboard_text_input_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_035,2169756,2169756,@115858 I️t..... I just want to type it! And not select I️t from autocorrect @AppleSupport,No Context,keyboard_text_input_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_036,1650115,1650115,@AppleSupport CAN YOU FIX THIS STUPID GLITCH WITH THE LETTER “EYE” PLEASE.,No Context,keyboard_text_input_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_037,2417435,2417435,@115858 hello I keep having an issue with my message app for some reason it keeps showing the keyboard without camera and attachment and send.,No Context,keyboard_text_input_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_038,2447584,2447584,Dear @115858 The whole question mark box when I️ type the word I️ is annoying please fix it. K thanks.,No Context,keyboard_text_input_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_039,1712949,1712949,"You guys remember that time @115858 forgot about the letter “I” in their update and everyone just saw a “?” Instead. Yea, good times.",No Context,keyboard_text_input_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_040,2510960,2510959,@AppleSupport Freezing constantly occurring where I have to reboot the device once every day. Freeze means you can’t click on an app icon or use keyboard,No Context,keyboard_text_input_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_041,1988259,1988259,Fix my keyboard! You got me looking dumb in my emails 😡 @AppleSupport,No Context,keyboard_text_input_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_042,2002467,2002467,@AppleSupport Hey Apple. Where are our phones doing this when we type “I️” https://t.co/iqCsqqfvZq,No Context,keyboard_text_input_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_043,1620580,1620580,"@115858 needs to fix the problem with the letter ""I"" when one tries to type it.",No Context,keyboard_text_input_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_044,119461,119460,"@AppleSupport Pandora was playing, then suddenly the apple logo appeared and Pandora stopped and a few seconds later I had to type in my passcode to unlock the phone. I found all my open apps backgrounded but I had to forground Pandora and it started playing again.",No Context,keyboard_text_input_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_045,1478058,1478058,@AppleSupport why is I­t­ everytime I️ type the letter “I️” I­t­ shoes up with an A and a question mark? I️ can’t do lowercase I️ either.,No Context,keyboard_text_input_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_046,2615265,2615265,"Update on my autocorrect: it either changes a word that doesn’t need changing to a word that doesn’t make sense, doesn’t change a word that does need changing, or just randomly capitalizes stuff. I’m not buying the X, @115858, you can give me back my functionality now.",No Context,keyboard_text_input_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_047,55971,55970,@AppleSupport 11.1 which has been causing many glitches on my phone between apps/internet connection &amp; keyboard,No Context,keyboard_text_input_issue,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_048,925542,925536,@AppleSupport i just take my neighbor Wifi https://t.co/pnJMworFpQ,No Context,network_connectivity,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_049,1878019,1878019,@115858 ever since my phone updated itself my WiFi barely ever works &amp; even trying to use my data doesn’t work pls stop this bs,No Context,network_connectivity,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_050,920488,920487,"@AppleSupport Nope! And I tried to reboot the Bluetooth settings, the connection’s settings, and even the phone itself...and nothing happen!",No Context,network_connectivity,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_051,2303429,2303428,@AppleSupport Disconnecting from Bluetooth at random. But it’s only for split second but then it does it again and again.,No Context,network_connectivity,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_052,1968172,1968172,"@AppleSupport Thanks for the 11.0.3 update that drains my battery, turns my cellular data off and numerous other issues. I am going Droid",No Context,network_connectivity,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_053,552218,552217,"@AppleSupport Hi @AppleSupport I’m running a 6 on iOS 11.1.2. It’s been the best phone I’ve ever owned, but since the upgrade to iOS 11 it will randomly drop Bluetooth connections and then immediately reconnect. Never used to do it before - it was rock steady.",No Context,network_connectivity,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_054,366567,366567,"@115858 I have 6. I updated IOS 11. But now cell started searching Wifi network, i turned it off manytimes yet it gets auto On? It drains battery.",No Context,network_connectivity,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_055,41674,41674,@AppleSupport 11.1 update broke my wifi it's greyed out i've been waiting on live chat for over 30 minutes..,No Context,network_connectivity,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_056,2072222,2072222,"@115858 this new update is shit. WiFi turning on by its self, no more turning auto brightness off? It’s draining my battery!! Wtf apple.",No Context,network_connectivity,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_057,2560885,2560885,@115714 @sprintcare @AppleSupport NO service going on on my iPhone 7+ won’t load any apps or safari,No Context,network_connectivity,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_058,1881589,1881589,@115858 your iOS update is terrible. Made bluetooth everything ridiculously slow. Not happy.,No Context,network_connectivity,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_059,850438,850438,Also @115858 my iPhone 7+ isn't connecting to wifi. I'm having to use my iPhone 6 because it won't work. Ever since I updated to iOS 11,No Context,network_connectivity,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_060,1123177,1123177,"So, the WiFi on my iPhone keeps turning itself back on every time I turn it off? Wish I’d never installed the new update @AppleSupport 🙈",No Context,network_connectivity,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_061,2360397,2360397,"Hey, @115858, if you ever decide to fix the Unicode I️ problem, you could also fix the other feature nobody asked for: the ability to turn on WiFi &amp; Bluetooth from a quick menu without the ability to turn them off completely from same menu",No Context,network_connectivity,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_062,177809,177809,@AppleSupport There might be a bug or flaw in iPhone X and Bluetooth. Keeps disconnecting from my car if not streaming sound from iPhone (ie if the phone is connected but listening to radio...disconnects from car after a minute or so). It’s highly distracting while driving,No Context,network_connectivity,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_063,1159163,1159159,@AppleSupport I tried doing them one at a time and all together but it’s still not working. I tried both Wi-Fi and cellular,No Context,network_connectivity,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_064,1237649,1237649,@AppleSupport my App Store is wacky . I can’t update my apps or download any.,No Context,app_store_media_services,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_065,434641,434641,@AppleSupport all my purchased music That was explicit became clean. But the Apple Music songs remained the same.,No Context,app_store_media_services,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_066,1866370,1866369,@AppleSupport @115948 Here are my Apple Music settings: https://t.co/QxyWJRJN8S,No Context,app_store_media_services,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_067,1654349,1654349,"Seriously considering Android, this App Store and iTunes problem is restricting me to a minimum @115858",No Context,app_store_media_services,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_068,2739529,2739529,"Bug chato do iOS 11, você esta ouvindo um podcast mas na tela bloqueada é exibido outro podcast. @115858",No Context,app_store_media_services,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_069,2111321,2111321,"@AppleSupport getting badge notifications about my own comments in Shared Albums is idiotic! What ARE you guys doing over there, trying to make me regret updating to iOS 11?! And, App store looks like it was designed by a 5-yr old.",No Context,app_store_media_services,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_070,2299804,2299804,"@AppleSupport If I sign up to the family Apple Music, is one of the devices able to be a Samsung?",No Context,app_store_media_services,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_071,1933044,1933044,@115858 @AppleSupport the new Podcast app is unusable - it crashes an average of once every five minutes and is super slow. Working on fix?,No Context,app_store_media_services,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_072,1143517,1143517,@115858 @AppleSupport @115948 @115858 I need some help my Apple Music isn’t working dm me I need it to work ASAP doing some videos,No Context,app_store_media_services,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_073,1974906,1974906,@AppleSupport my iMessage app store disappeared https://t.co/e61dVYevJ1,No Context,app_store_media_services,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_074,1625408,1625408,@AppleSupport I bought apple music and now I can't add/delete my itunes music folders onto my iphone. What's the deal?,No Context,app_store_media_services,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_075,2702219,2702219,"@AppleSupport In the new Podcast interface, when you search a name, you get 8 show hits and 8 episode hits. So, if I want to hear every episode John Doe is on, I only get 8 hits of each. Can we expand the search results? Thanks.",No Context,app_store_media_services,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_076,428732,428728,@AppleSupport Nope. Happens frequently with Spotify and Podcasts. I don’t use Apple Music 🎧 ❌,No Context,app_store_media_services,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_077,2889544,2889544,.@115858 @9169 @AppleSupport hey just so you know there is def a glitch when using snapchat and Apple Music on the new iOS. I bought a new phone 6s four hours ago when my old one died because of this glitch AND THE BRAND NEW ONE JUST DIED TOO. CANT RESTORE. FIX UR SHIT,No Context,app_store_media_services,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_078,1573693,1573693,"@AppleSupport y, y, y, did u change podcast play? Don’t any of u go on long runs? How do I listen 2 multiple episodes w/out stopng?",No Context,app_store_media_services,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_079,712073,712071,"@AppleSupport The latest. But actually a bigger issue is when listening to podcasts or Spotify. When I refresh a Twitter or IG timeline, it pauses music",No Context,app_store_media_services,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_080,1350615,1350615,"@AppleSupport your team is in rare form today. Help, nah.. no help. How do I complete my reservation? #iphonex #fireseth https://t.co/sTqnMYWv7C",No Context,feature_inquiry_how_to,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_081,2270023,2270023,@AppleSupport how do I delete 25 GB of 'documents and data'?,No Context,feature_inquiry_how_to,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_082,889021,889021,@AppleSupport hey how do I check what date these purchases were made https://t.co/t7z1iHz4Qe,No Context,feature_inquiry_how_to,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_083,2205796,2205796,"@AppleSupport hey I subscribed to an app by mistake, how do I get a refund?",No Context,feature_inquiry_how_to,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_084,373659,373659,@AppleSupport my gps hasn’t been working for weeks. How do I fix it? 🙃,No Context,feature_inquiry_how_to,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_085,2510983,2510983,@AppleSupport Can you tell me what this SpringBoard is and why it’s using mobile data? https://t.co/kjwv0MbJAy,No Context,feature_inquiry_how_to,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_086,2756136,2756136,@AppleSupport my apps keep updating on their own how do I stop them? I already set the settings off,No Context,feature_inquiry_how_to,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_087,739823,739823,Is it possible to blow a speaker in an iPhone? @AppleSupport need some help,No Context,feature_inquiry_how_to,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_088,1673191,1673191,How do I get the rest of my apps ? @AppleSupport https://t.co/QKY2GnjpwX,No Context,feature_inquiry_how_to,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_089,2524596,2524596,Why is the system taking up that much??? It’s so frustrating. How do I change it? @115858 @AppleSupport https://t.co/7fbqSlEpj5,No Context,feature_inquiry_how_to,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_090,125023,125023,"@115858 how do I install an agel de operating system, such as, @116230 XP on my iPhone 6? Your new update doesn't work.",No Context,feature_inquiry_how_to,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_091,2012804,2012804,@AppleSupport my phone is seriously dying within 10 min use! It was literally at 80%. How is it possible?!? #iOS11 😑,No Context,feature_inquiry_how_to,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_092,367944,367944,@AppleSupport this update has ruined my phone is it possible to downgrade?,No Context,feature_inquiry_how_to,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_093,1704642,1704642,@AppleSupport I got a question is there something wrong with ft rn and if so how do I fix it,No Context,feature_inquiry_how_to,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_094,2730443,2730443,@AppleSupport what is this “other” and how do I delete it? It seems to use up a lot of space. #iphone https://t.co/XX9BHoBOiC,No Context,feature_inquiry_how_to,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_095,2420091,2420091,@AppleSupport How do I stop #iTunes asking me if I want to see what 'friends' are listening to about every 30 seconds? It's very very irritating!,No Context,feature_inquiry_how_to,AUTO_HANDLE,Standard technical issue with known troubleshooting steps.,Medium,normal,Manually verified heuristics.
GS_096,246511,246509,@AppleSupport But it’s intermittent,No Context,other_unclear_context_dependent,ESCALATE,Insufficient context to auto-handle safely.,Medium,context_dependent,Manually verified heuristics.
GS_097,118117,118115,@AppleSupport IOS 11.1.1,No Context,other_unclear_context_dependent,ESCALATE,Insufficient context to auto-handle safely.,Medium,context_dependent,Manually verified heuristics.
GS_098,896000,895995,@AppleSupport 6 giant,No Context,other_unclear_context_dependent,ESCALATE,Insufficient context to auto-handle safely.,Medium,context_dependent,Manually verified heuristics.
GS_099,2615232,2615231,@AppleSupport Ios11.2,No Context,other_unclear_context_dependent,ESCALATE,Insufficient context to auto-handle safely.,Medium,context_dependent,Manually verified heuristics.
GS_100,1593238,1593237,@AppleSupport It's iTunes.,No Context,other_unclear_context_dependent,ESCALATE,Insufficient context to auto-handle safely.,Medium,context_dependent,Manually verified heuristics.
GS_101,2696035,2696033,@AppleSupport No. One device.,No Context,other_unclear_context_dependent,ESCALATE,Insufficient context to auto-handle safely.,Medium,context_dependent,Manually verified heuristics.
GS_102,1112728,1112727,@AppleSupport IOS 10.3 still.,No Context,other_unclear_context_dependent,ESCALATE,Insufficient context to auto-handle safely.,Medium,context_dependent,Manually verified heuristics.
GS_103,1683470,1683470,@115858 fix I️,No Context,other_unclear_context_dependent,ESCALATE,Insufficient context to auto-handle safely.,Medium,context_dependent,Manually verified heuristics.
GS_104,1748841,1748841,@115858 fix this lmaoo,No Context,other_unclear_context_dependent,ESCALATE,Insufficient context to auto-handle safely.,Medium,context_dependent,Manually verified heuristics.
GS_105,2261515,2261514,"@AppleSupport Oh cool, thanks!",No Context,other_unclear_context_dependent,ESCALATE,Insufficient context to auto-handle safely.,Medium,context_dependent,Manually verified heuristics.
GS_106,2015814,2015813,@AppleSupport Perfect example https://t.co/gRvgRFNNlo,No Context,other_unclear_context_dependent,ESCALATE,Insufficient context to auto-handle safely.,Medium,context_dependent,Manually verified heuristics.
GS_107,2006571,2006571,@AppleSupport explain yourself https://t.co/4wvR47sGn3,No Context,other_unclear_context_dependent,ESCALATE,Insufficient context to auto-handle safely.,Medium,context_dependent,Manually verified heuristics.
GS_108,753014,753013,"@AppleSupport iPhone 7, ios11.0.2",No Context,other_unclear_context_dependent,ESCALATE,Insufficient context to auto-handle safely.,Medium,context_dependent,Manually verified heuristics.
GS_109,1220423,1220419,@AppleSupport New Zealand :),No Context,other_unclear_context_dependent,ESCALATE,Insufficient context to auto-handle safely.,Medium,context_dependent,Manually verified heuristics.
GS_110,1568243,1568243,@AppleSupport ??? https://t.co/T54LLgo5zM,No Context,other_unclear_context_dependent,ESCALATE,Insufficient context to auto-handle safely.,Medium,context_dependent,Manually verified heuristics.
GS_111,2125087,2125086,@AppleSupport Fix **,No Context,other_unclear_context_dependent,ESCALATE,Insufficient context to auto-handle safely.,Medium,context_dependent,Manually verified heuristics.
GS_112,301571,301569,@AppleSupport 7 plus. 11.0.2,No Context,other_unclear_context_dependent,ESCALATE,Insufficient context to auto-handle safely.,Medium,context_dependent,Manually verified heuristics.
GS_113,1869281,1869279,@AppleSupport 10.2.1 i think...,No Context,other_unclear_context_dependent,ESCALATE,Insufficient context to auto-handle safely.,Medium,context_dependent,Manually verified heuristics.
GS_114,1573074,1573073,@AppleSupport iPhone 6 11.1,No Context,other_unclear_context_dependent,ESCALATE,Insufficient context to auto-handle safely.,Medium,context_dependent,Manually verified heuristics.
GS_115,2619881,2619880,@AppleSupport iPhone Version 11.1.2,No Context,other_unclear_context_dependent,ESCALATE,Insufficient context to auto-handle safely.,Medium,context_dependent,Manually verified heuristics.
