id,customer_message,expected_intent,predicted_intent,intent_correct,expected_action,predicted_action,action_correct,intent_confidence,top_similarity,top3_similarity,top5_similarity,evidence_count,evidence_ids,draft_reply,action_reason,grounding_flags,provider_used,model_used,fallback_used,fallback_reason,severity,severity_confidence,severity_reason,system_status,agent_version
GS_011,@AppleSupport iOS and TVOS I switch between my iPhone and my AppleTV (4th Gen). There are a bunch of songs. The personal station only seems to have a about 30 songs and I disliked many of them. Shouldn’t it reflect the music I listen to and like?,software_system_issue,feature_inquiry_how_to,0,AUTO_HANDLE,AUTO_HANDLE,1,0.92,0.6746541857719421,0.6436878641446432,0.6270383954048157,5,"['1789013', '2914641', '992380', '2580536', '1540658']","Hi @AppleSupport,

Thanks for reaching out. Your Personal Station is built from the music you’ve listened to and the songs you’ve liked or disliked. It may start with a smaller pool of tracks, but it will grow and adapt as you interact with it.

To help the station reflect your tastes more accurately, you can:

* **Tap the ★ star** on songs you enjoy to “like” them.  
* Use **“Play less like this”** or **“Dislike”** on tracks you don’t want to hear again.

These actions give Apple Music more information about your preferences, and the station will gradually include more of the music you like.

If you continue to see only a limited selection after trying this, let us know and we’ll get a specialist to look into it further.",Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_012,@115858 Yoooooo wtf is going on with this damn ios11. MY 7plus tweaking,software_system_issue,software_system_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.95,0.8631588816642761,0.8469111720720927,0.8413479566574097,5,"['770926', '816199', '760525', '2300921', '1643370']",We’re sorry you’re having trouble with iOS 11 on your iPhone 7 Plus. Could you let us know exactly what symptoms you’re seeing and which iOS 11 version is installed? With that information we can suggest the appropriate steps to resolve the issue.,Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_013,@AppleSupport Hey guys. my 6s iphone crashed for the second time even when updating the last IOS firmware 11.1.1 what should I do. I had enough,software_system_issue,software_system_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.97,0.855823278427124,0.8233380317687988,0.8140100955963134,5,"['543735', '114516', '237459', '1837722', '2406593']","We’re sorry you’re experiencing this again. Could you let us know a few details so we can pinpoint the issue?

1. When you try to power the iPhone on, does it show the Apple logo, a spinning wheel, or stay black?  
2. Does the crash happen while using a particular app or during any activity?  
3. Have you tried a force‑restart (press and hold the Home + Power buttons until the Apple logo appears)?

Your answers will help us guide you through the next steps to get your iPhone back to normal.",Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_014,Officially not a fan of my iPhone. This update is giving me a massive headache @AppleSupport @115858 👎🏻,software_system_issue,software_system_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.92,0.8511966466903687,0.8392345905303955,0.8336187720298767,5,"['1986561', '1937840', '2465708', '915233', '1784582']","We’re sorry you’re having trouble after the update. To investigate further, could you let us know:

* Which iPhone model you’re using  
* The iOS version currently installed  
* A brief description of the issues you’re experiencing (e.g., performance, battery, apps, etc.)

With that information we can look into a solution for you.",Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_015,@AppleSupport Ever since my iPhone 6 Plus automatically updated to IOS 11.0.2 it has been wigging out and every app is buggy. What is up?!?,software_system_issue,software_system_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.97,0.8296786546707153,0.8211950858434042,0.8147269248962402,5,"['542418', '809369', '2045208', '298497', '410088']","@AppleSupport Thank you for reaching out. I’m sorry you’re experiencing issues after the iOS 11.0.2 update. Could you let us know if the problem occurs with all apps or only specific ones? In the meantime, please try the troubleshooting steps outlined here: https://t.co/osZOKKTalm and let us know the result.",Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_016,"@115858 @AppleSupport - how come every time you release a new phone, mine always slows down, freezes and the battery lasts 10 minutes? #loadofshit @125607 what deal can you give me?",battery_power_issue,battery_power_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.78,0.7923256754875183,0.7830691734949747,0.7708508372306824,5,"['2547255', '1404071', '1414834', '2082034', '43353']","Hi @115858, I’m sorry you’re experiencing slowdowns, freezes, and rapid battery drain. To help us pinpoint the cause, could you let us know:

1. Which iPhone model you’re using and the iOS version it’s running.  
2. Whether the issues happen with specific apps or at random times.  
3. If you’ve checked **Settings > Battery > Battery Health** and what the maximum capacity reads.

If you prefer to share more details privately, please send us a Direct Message with the above information. We’ll work with you to get your device running smoothly again.",Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_017,@AppleSupport The iOS 11.1 update is a freaking battery drainage problem for my 5s. (I’m aware of battery saving methods) Please fix this,battery_power_issue,battery_power_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.96,0.8481754064559937,0.8440967996915182,0.8401577234268188,5,"['936908', '2300655', '1673538', '1938607', '992362']","@​AppleSupport We’re sorry you’re experiencing battery drain after updating to iOS 11.1. Apple released iOS 11.1.1, which includes a fix for this issue. Please check for the latest update (Settings → General → Software Update) and install it. If the problem continues after updating, feel free to send us a Direct Message with your location so we can investigate further.",Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_018,"@AppleSupport my phone logs itself out of apps, reboots, &amp; my photos keep disappearing. It's rather frustrating! Please help!",battery_power_issue,software_system_issue,0,AUTO_HANDLE,AUTO_HANDLE,1,0.96,0.7793387770652771,0.7737677693367004,0.766433835029602,5,"['2427325', '1136294', '1345648', '1295077', '1044429']",I want to make sure you get the right help with this. I'll escalate this to a support specialist who can look into it further.,Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_019,@AppleSupport I updated to 11.0 3- now my phone needs to be charged at least twice a day and graphic glitches happen continuously. Fix this?,battery_power_issue,battery_power_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.78,0.7408357858657837,0.7338879704475403,0.7310755848884583,5,"['1683401', '612853', '1744923', '2029641', '2015888']","Hi @AppleSupport,

I’m sorry you’re experiencing rapid battery drain and graphic glitches after updating to iOS 11.0.3.  

1. Please check that your device is running the latest iOS version (iOS 11.1.1). You can verify this in **Settings > General > About** and, if needed, update via **Settings > General > Software Update**.  

2. If you’re already on the newest version and the problems persist, let me know and I’ll share a temporary workaround that can help until a future update resolves the issue.  

Thanks for your patience—looking forward to getting this sorted for you.",Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_020,Dear @115858 and @AppleSupport — Battery life *horrible* since upgrade to #iOS11 on my iPad.,battery_power_issue,battery_power_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.97,0.8796334266662598,0.8770129481951395,0.8721408724784852,5,"['771977', '795791', '1061443', '978354', '1007073']","We’re sorry to hear the battery isn’t lasting as expected after the iOS 11 upgrade. Could you let us know which iPad model you’re using and the exact iOS version that’s installed? If you haven’t already updated to iOS 11.0.3, installing the latest 11.x release often improves battery performance. Any additional details you can share will help us troubleshoot further.",Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_021,@115858 #itsucks battery mostly #ios11,battery_power_issue,battery_power_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.92,0.8227161169052124,0.8133095701535543,0.8060631275177002,5,"['2485776', '372509', '333273', '2143369', '1007796']",@115858 Sorry you’re experiencing battery issues. Could you let us know which iPhone model you have and the exact iOS 11 version it’s running (you can see this in Settings ▶ General ▶ About)? With that information we can look into the problem further.,Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_022,"@AppleSupport Starting today, Instagram is crashing on iOS11. Also, battery is draining like water on my iPhone. Can you do anything?",battery_power_issue,software_system_issue,0,AUTO_HANDLE,ESCALATE,0,0.6,0.8538662791252136,0.8151625394821167,0.7779913187026978,5,"['387606', '939168', '354528', '1132164', '1678529']",I want to make sure you get the right help with this. I'll escalate this to a support specialist who can look into it further.,Intent confidence (0.60) below threshold (0.7).,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_023,"@AppleSupport Hi, may I get a battery diagnostic ran on my iPhone 6?",battery_power_issue,battery_power_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.98,0.8512252569198608,0.8440522948900858,0.8277755737304687,5,"['1271121', '1370245', '2617024', '2983149', '2870748']","@​AppleSupport Thanks for reaching out. To run a battery diagnostic on your iPhone 6, could you let us know:

1. Are you seeing a “Battery Service” warning in **Settings → Battery**?  
2. Which iOS version is installed on the device?  
3. What specific symptoms are you experiencing (e.g., rapid drain, unexpected shutdowns)?

With that information we can check the battery health for you.",Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_024,"When I left my house my battery was at 90% and now it’s at 10%. @115858 I know y’all just released new phones and that’s when the older ones act up, but wtf 🤦🏽‍♀️",battery_power_issue,battery_power_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.97,0.8399387001991272,0.8308866024017334,0.8210539579391479,5,"['96884', '2116287', '659513', '2676898', '1903707']","We understand how frustrating rapid battery drain can be. Could you let us know which iPhone model you have and the iOS version it’s running? Also, have you tried any steps such as restarting the device, checking Battery Health in Settings, or disabling background app refresh? This information will help us pinpoint the issue and find a solution.",Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_025,Is it me or is the new IOS11 sucking up battery power like its going out of style?? I cant seem to keep my devices charged...@115858,battery_power_issue,battery_power_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.97,0.7860243320465088,0.7756116588910421,0.7694946765899658,5,"['333273', '1837077', '1521208', '252879', '849947']","@115858 Hi there! Sorry you’re experiencing battery drain. Could you let us know which iOS 11 version you’re on? In the meantime, please try the troubleshooting steps in this article: https://t.co/KyywFa9iZ3 and let us know if it helps.",Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_026,@AppleSupport I want my photos in the cloud but should I take them off so that they do not load?,battery_power_issue,feature_inquiry_how_to,0,AUTO_HANDLE,AUTO_HANDLE,1,0.78,0.7490866184234619,0.6949257254600525,0.6828971624374389,5,"['1761126', '2442778', '641926', '2753630', '989698']","Hi @AppleSupport,

If iCloud Photos is turned on, deleting a photo from one device removes it from iCloud and from all of your other devices. To keep your photos in iCloud while freeing up local storage, enable **Optimize Storage** (Settings → Photos → Optimize iPhone Storage on iOS, or Photos → Preferences → iCloud on macOS). This stores full‑resolution versions in iCloud and keeps smaller, device‑size versions locally.

If you turn off iCloud Photos, the photos will stay on the device where you delete them, but they will no longer sync to iCloud.

Let me know if you’d like step‑by‑step instructions for enabling Optimize Storage.",Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_027,@AppleSupport also you overcharged me $10 this month for my iTunes bill.,battery_power_issue,app_store_media_services,0,AUTO_HANDLE,AUTO_HANDLE,1,0.97,0.7974241971969604,0.7909982005755106,0.7860103011131286,5,"['1762188', '945501', '1269557', '427835', '369278']","Hi there, I’m sorry you’re seeing an unexpected charge. Our iTunes Store support team can review the billing details and help resolve this. Please reach out to them here: https://t.co/SDIe7UiyJN.",Confidence and evidence quality are sufficient.,['URL not in evidence: https://t.co/sdie7uiyjn.'],groq,openai/gpt-oss-120b,False,,,,,,
GS_028,"@AppleSupport what's up. iPhone 7 iOS 11.0.3 made it worse, it's draining as I type! #iphone7 #BatteryDrain #Apple Apple software 11.0.3 update has just ruined my iPhone thanks a lot Apple @AppleSupport @115858",battery_power_issue,battery_power_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.96,0.8549728393554688,0.8519255916277567,0.8460114359855652,5,"['1906417', '1443127', '2315952', '857134', '1144282']","Hi @115858, we’re sorry you’re experiencing rapid battery drain after updating to iOS 11.0.3. Please try the troubleshooting steps in this article, which covers battery‑optimizing settings and post‑update checks: https://t.co/bivpdfBNJ6.  

If the issue persists after following those steps, let us know and we’ll connect you with a specialist for further assistance.",Confidence and evidence quality are sufficient.,['URL not in evidence: https://t.co/bivpdfbnj6.'],groq,openai/gpt-oss-120b,False,,,,,,
GS_029,".@115858 better stop messing with me. My ORIGINAL charger gives me the ""this accessory may not be supported"" pop up. I can't do this anymore.",battery_power_issue,hardware_damage_repair,0,AUTO_HANDLE,ESCALATE,0,0.92,0.8563128113746643,0.8210706313451132,0.806638526916504,5,"['1765090', '1011597', '2592230', '1220024', '1148450']",I want to make sure you get the right help with this. I'll escalate this to a support specialist who can look into it further.,High-risk intent (hardware_damage_repair) requires human routing.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_030,Hey @AppleSupport do you cover chargers when the cord malfunctions? https://t.co/b3yH6d81A1,battery_power_issue,hardware_damage_repair,0,AUTO_HANDLE,ESCALATE,0,0.96,0.5883960723876953,0.5742979049682617,0.5640986204147339,5,"['2492286', '910636', '2279861', '2907933', '554747']",I want to make sure you get the right help with this. I'll escalate this to a support specialist who can look into it further.,High-risk intent (hardware_damage_repair) requires human routing.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_031,Hey @115858 no % for battery in iPhone X? Are you stupid? YOU’RE RUINING MY LIFE!,battery_power_issue,battery_power_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.96,0.7820061445236206,0.7506601015726725,0.7422181367874146,5,"['1627569', '1689366', '1386704', '2676898', '2398045']","Hi @115858, I’m sorry you’re having trouble seeing the battery percentage. The iPhone X doesn’t display the percentage in the status bar, but you can view it anytime in Control Center:

1. Swipe down from the top‑right corner of the screen.  
2. The battery icon with the percentage will appear at the top of Control Center.

If you need any further assistance, just let us know. We’re here to help!",Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_032,First the “I” problem... now I’ve realized it is autocorrected to I.T 🤭why? #ios11 @AppleSupport and also that my keyboard disappears after viewing a picture sent by text... I have to close the app to get I.T back.,keyboard_text_input_issue,keyboard_text_input_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.97,0.757108747959137,0.7396867076555887,0.7297434329986572,5,"['1735909', '52259', '1558151', '2710003', '2293888']","Hi @AppleSupport,

We’re sorry you’re experiencing the “I” autocorrect to “I.T.” and the keyboard disappearing after viewing a picture.

**Try these steps:**

1. **Update iOS** – Go to **Settings > General > Software Update** and install the latest version (iOS 11.1.1 and later include a fix for this autocorrect behavior).  
2. **Back up first** – It’s a good idea to back up your device to iCloud or a computer before updating.  
3. **If the issue remains** after the update, please let us know so we can investigate further.

Thanks for your patience, and we hope this resolves the problem!",Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_033,@AppleSupport the keyboard isn’t working on the top keys (i o u y t) of my MacBook Pro. Any suggestions to fix the issue?,keyboard_text_input_issue,keyboard_text_input_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.97,0.7771304845809937,0.7553955515225729,0.7488937258720398,5,"['1930914', '1774724', '1433698', '2573888', '1640727']","Hi @AppleSupport,

Thanks for reaching out. To troubleshoot the non‑responsive top‑row keys on your MacBook Pro, please try the following steps:

1. **Update macOS** – Make sure you’re running the latest version of macOS.  
2. **Reset the SMC** – Shut down, then press Shift + Control + Option on the left side of the keyboard and the power button for 10 seconds, release, and turn the Mac back on.  
3. **Reset NVRAM** – Restart and hold Option + Command + P + R for about 20 seconds.  
4. **Clean the keys** – Gently clean the affected keys with compressed air or a soft brush to remove any debris.  
5. **Test in Safe Mode** – Restart while holding the Shift key; see if the keys work there.  
6. **Try an external keyboard** – This helps determine whether the issue is hardware‑related.

If the problem continues after these steps, please let us know and we’ll look into it further. In the meantime, you may find this resource helpful: https://t.co/19rtmutOA8.",Confidence and evidence quality are sufficient.,['URL not in evidence: https://t.co/19rtmutoa8.'],groq,openai/gpt-oss-120b,False,,,,,,
GS_034,@AppleSupport why is it every time I️ type the letter ‘I’ it turns into a question mark box... figure it out for God’s sake,keyboard_text_input_issue,keyboard_text_input_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.97,0.9459819793701172,0.937583327293396,0.9287978172302246,5,"['1587408', '1161957', '1701974', '1618260', '1671998']","We’re aware that typing the letter “I” is showing up as a question‑mark box. A temporary workaround is available here: https://t.co/xXaXeeSRt9. We’re working on a fix that will be included in a future software update. If you need any further assistance, just let us know.",Confidence and evidence quality are sufficient.,['URL not in evidence: https://t.co/xxaxeesrt9.'],groq,openai/gpt-oss-120b,False,,,,,,
GS_035,@115858 I️t..... I just want to type it! And not select I️t from autocorrect @AppleSupport,keyboard_text_input_issue,keyboard_text_input_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.96,0.7869316339492798,0.7818979819615682,0.7759226322174072,5,"['1583036', '2142342', '1632300', '1591485', '1078795']","Thanks for reaching out. To stop autocorrect from changing the letter **I**, please try the temporary workaround outlined here: https://t.co/xXaXeeSRt9. If you still have trouble, just let us know and we’ll help further.",Confidence and evidence quality are sufficient.,['URL not in evidence: https://t.co/xxaxeesrt9.'],groq,openai/gpt-oss-120b,False,,,,,,
GS_036,@AppleSupport CAN YOU FIX THIS STUPID GLITCH WITH THE LETTER “EYE” PLEASE.,keyboard_text_input_issue,keyboard_text_input_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.96,0.9766150712966919,0.9363620082537333,0.9190298795700074,5,"['2123206', '2353662', '2169753', '2113823', '1644507']",We’re sorry you’re experiencing the autocorrect issue with “eye.” A temporary workaround is available here: https://t.co/xXaXeeSRt9. Apple is working on a fix that will be included in an upcoming iOS update. Thank you for your patience.,Confidence and evidence quality are sufficient.,['URL not in evidence: https://t.co/xxaxeesrt9.'],groq,openai/gpt-oss-120b,False,,,,,,
GS_037,@115858 hello I keep having an issue with my message app for some reason it keeps showing the keyboard without camera and attachment and send.,keyboard_text_input_issue,software_system_issue,0,AUTO_HANDLE,AUTO_HANDLE,1,0.93,0.6301370859146118,0.6246354579925537,0.6214462637901306,5,"['2255319', '2303150', '2772622', '284057', '2897746']","We’d like to help get your Messages app back to normal. Could you let us know which iPhone model you’re using and the iOS version (you can find this in Settings → General → About → Version)? Also, does the camera function correctly in the native Camera app? With that information we can narrow down the cause.",Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_038,Dear @115858 The whole question mark box when I️ type the word I️ is annoying please fix it. K thanks.,keyboard_text_input_issue,keyboard_text_input_issue,1,AUTO_HANDLE,AUTO_HANDLE,1,0.96,0.8138530254364014,0.7915489872296652,0.7770265460014343,5,"['1648474', '2972470', '1593886', '1575071', '1707005']","Hi @115858,

I’m sorry you’re seeing a question‑mark box whenever you type “I”. To help us pinpoint the cause, could you let us know which iOS version your device is running? You can find this in **Settings → General → About**.

In the meantime, please try the following steps:

1. **Update iOS** – If an update is available, install it (Settings → General → Software Update).  
2. **Reset Keyboard Dictionary** – Settings → General → Transfer or Reset iPhone → Reset → Reset Keyboard Dictionary.  
3. **Check Keyboard Settings** – Settings → General → Keyboard. Ensure the correct language is selected and that “Auto‑Correction” and “Predictive” are set as you prefer.  
4. **Restart your device** – A simple reboot can clear temporary glitches.

If the issue persists after trying these steps, please let us know the iOS version and any additional details you’ve observed, and we’ll investigate further.",Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_039,"You guys remember that time @115858 forgot about the letter “I” in their update and everyone just saw a “?” Instead. Yea, good times.",keyboard_text_input_issue,other_unclear_context_dependent,0,AUTO_HANDLE,ESCALATE,0,0.96,0.7249424457550049,0.7215296824773153,0.7198640704154968,5,"['1565188', '1707751', '2297055', '1774751', '2012329']",I want to make sure you get the right help with this. I'll escalate this to a support specialist who can look into it further.,High-risk intent (other_unclear_context_dependent) requires human routing.,[],groq,openai/gpt-oss-120b,False,,,,,,
GS_040,@AppleSupport Freezing constantly occurring where I have to reboot the device once every day. Freeze means you can’t click on an app icon or use keyboard,keyboard_text_input_issue,software_system_issue,0,AUTO_HANDLE,AUTO_HANDLE,1,0.97,0.8222912549972534,0.8157000541687012,0.8074407815933228,5,"['1701624', '884975', '1512163', '282841', '2112888']","Hi there, sorry you’re experiencing frequent freezes. Could you let us know which iOS version your device is running? You can check this by opening **Settings → General → About**. If you’re not on the latest iOS release, please update your device, as newer versions often include fixes for stability issues. Let us know what you find, and we’ll help you troubleshoot further.",Confidence and evidence quality are sufficient.,[],groq,openai/gpt-oss-120b,False,,,,,,
